date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:14:13	321565/321565	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jan%202022%2007:13:37%20GMT	https://ezek.io/products/	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/products/index.html	(from https://ezek.io/products)
02:14:14	61672/61672	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2014%20Jan%202022%2007:13:37%20GMT	https://ezek.io/474cdeaf037f267fa9ec7e08a867029d6e0074cf-fb40a844de6266a94ada.js	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/474cdeaf037f267fa9ec7e08a867029d6e0074cf-fb40a844de6266a94ada.js	(from https://ezek.io/buy)
02:14:14	124574/124574	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2014%20Jan%202022%2007:13:37%20GMT	https://ezek.io/component---src-pages-buy-index-tsx-e6902aab68de79c9f3ee.js	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/component---src-pages-buy-index-tsx-e6902aab68de79c9f3ee.js	(from https://ezek.io/buy)
02:14:14	160/160	---MCZ	200	added ('OK')	application/json	etag:W/%22page-data/buy/page-data.cc1e53e571.json%22	https://ezek.io/page-data/buy/page-data.json	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/page-data/buy/page-data.json	(from https://ezek.io/buy)
02:14:14	46799/46799	---M--	200	added ('OK')	image/png	etag:%22static/bear-9221d75dd46f0511b0af9d43548a5da5.eca2bdef3e.png%22	https://ezek.io/static/bear-9221d75dd46f0511b0af9d43548a5da5.png	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/static/bear-9221d75dd46f0511b0af9d43548a5da5.png	(from https://ezek.io/buy)
02:14:14	18598/18598	---M--	200	added ('OK')	image/png	etag:%22static/taping-bda1991283421be4bafec8cc2518fb35.f5954cf036.png%22	https://ezek.io/static/taping-bda1991283421be4bafec8cc2518fb35.png	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/static/taping-bda1991283421be4bafec8cc2518fb35.png	(from https://ezek.io/buy)
02:14:15	229115/229115	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Jan%202022%2007:13:38%20GMT	https://ezek.io/static/contentBk-6bb669f15a5ff7437537e6481af9b19e.png	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/static/contentBk-6bb669f15a5ff7437537e6481af9b19e.png	(from https://ezek.io/buy)
02:14:15	13612/13612	---M--	200	added ('OK')	image/png	etag:%22static/cap-d1aa84be6aa0b6f598e5bb6e36eaa597.4b2d02eb9c.png%22	https://ezek.io/static/cap-d1aa84be6aa0b6f598e5bb6e36eaa597.png	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/static/cap-d1aa84be6aa0b6f598e5bb6e36eaa597.png	(from https://ezek.io/buy)
02:14:15	354706/354706	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jan%202022%2007:13:38%20GMT	https://ezek.io/buy/	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/buy/index.html	(from https://ezek.io/buy)
02:14:15	13370/13370	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Jan%202022%2007:13:39%20GMT	https://ezek.io/static/headerWaistPack-c9d7832172ee6679eedb8930f0ab54ca.png	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/static/headerWaistPack-c9d7832172ee6679eedb8930f0ab54ca.png	(from https://ezek.io/buy)
02:14:15	13386/13386	---M--	200	added ('OK')	image/png	etag:%22static/star-29343e34cfef8ad4ac3c7a2fcebedc06.f52d39b987.png%22	https://ezek.io/static/star-29343e34cfef8ad4ac3c7a2fcebedc06.png	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/static/star-29343e34cfef8ad4ac3c7a2fcebedc06.png	(from https://ezek.io/buy)
02:14:16	720000/720000	---M--	200	added ('OK')	image/jpeg	etag:%2217bc0189dc73861a5fe15daa96d98fb7%22	https://d1kjtx52rxv2sn.cloudfront.net/website/images/buy_get/SET_07.jpg	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/d1kjtx52rxv2sn.cloudfront.net/website/images/buy_get/SET_07.jpg	(from https://ezek.io/buy)
02:14:16	417314/417314	---M--	200	added ('OK')	image/jpeg	etag:%22c9c2605bc5fbf7407e567b604d5459f0%22	https://d1kjtx52rxv2sn.cloudfront.net/website/images/buy_get/SET_08.jpg	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/d1kjtx52rxv2sn.cloudfront.net/website/images/buy_get/SET_08.jpg	(from https://ezek.io/buy)
02:14:16	417964/417964	---M--	200	added ('OK')	image/jpeg	etag:%22e3e2c775f4e133780136fb05d7be8bd7%22	https://d1kjtx52rxv2sn.cloudfront.net/website/images/buy_get/SET_09.jpg	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/d1kjtx52rxv2sn.cloudfront.net/website/images/buy_get/SET_09.jpg	(from https://ezek.io/buy)
02:14:17	557956/557956	---M--	200	added ('OK')	image/jpeg	etag:%225b515a75e13cee7e92338f0c2c1fda7a%22	https://d1kjtx52rxv2sn.cloudfront.net/website/images/buy_get/SET_10.jpg	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/d1kjtx52rxv2sn.cloudfront.net/website/images/buy_get/SET_10.jpg	(from https://ezek.io/buy)
02:14:17	510858/510858	---M--	200	added ('OK')	image/jpeg	etag:%22341e8d4c7daf6f6e0bae716a2d6bf501%22	https://d1kjtx52rxv2sn.cloudfront.net/website/images/buy_get/SET_01.jpg	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/d1kjtx52rxv2sn.cloudfront.net/website/images/buy_get/SET_01.jpg	(from https://ezek.io/buy)
02:14:17	552603/552603	---M--	200	added ('OK')	image/jpeg	etag:%22236bcd855800e2115b7483c62a52f090%22	https://d1kjtx52rxv2sn.cloudfront.net/website/images/buy_get/SET_02.jpg	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/d1kjtx52rxv2sn.cloudfront.net/website/images/buy_get/SET_02.jpg	(from https://ezek.io/buy)
02:14:17	481883/481883	---M--	200	added ('OK')	image/jpeg	etag:%22f03c1a0916ae000a45cb489fcbf2b8ba%22	https://d1kjtx52rxv2sn.cloudfront.net/website/images/buy_get/SET_03.jpg	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/d1kjtx52rxv2sn.cloudfront.net/website/images/buy_get/SET_03.jpg	(from https://ezek.io/buy)
02:14:17	425903/425903	---M--	200	added ('OK')	image/jpeg	etag:%2262eca47b42f6daf3f9825f3ecebdaa3e%22	https://d1kjtx52rxv2sn.cloudfront.net/website/images/buy_get/SET_04.jpg	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/d1kjtx52rxv2sn.cloudfront.net/website/images/buy_get/SET_04.jpg	(from https://ezek.io/buy)
02:14:18	572557/572557	---M--	200	added ('OK')	image/jpeg	etag:%22e670dfbf6f353e89a649d0fa8d45aad8%22	https://d1kjtx52rxv2sn.cloudfront.net/website/images/buy_get/SET_05.jpg	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/d1kjtx52rxv2sn.cloudfront.net/website/images/buy_get/SET_05.jpg	(from https://ezek.io/buy)
02:14:18	457793/457793	---M--	200	added ('OK')	image/jpeg	etag:%220e1e6f78095e3a811f9fa30fecdb3f04%22	https://d1kjtx52rxv2sn.cloudfront.net/website/images/buy_get/SET_06.jpg	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/d1kjtx52rxv2sn.cloudfront.net/website/images/buy_get/SET_06.jpg	(from https://ezek.io/buy)
02:14:18	25187/25187	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Jan%202022%2007:13:41%20GMT	https://ezek.io/static/waistPack-fa49085eb21eb8fae2cccb8530235c73.png	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/static/waistPack-fa49085eb21eb8fae2cccb8530235c73.png	(from https://ezek.io/buy)
02:14:19	4962/4962	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2014%20Jan%202022%2007:13:42%20GMT	https://ezek.io/component---src-pages-about-index-tsx-aca397b95314a0431796.js	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/component---src-pages-about-index-tsx-aca397b95314a0431796.js	(from https://ezek.io/about)
02:14:19	164/164	---MCZ	200	added ('OK')	application/json	etag:W/%22page-data/about/page-data.1c467f2d31.json%22	https://ezek.io/page-data/about/page-data.json	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/page-data/about/page-data.json	(from https://ezek.io/about)
02:14:19	42055/42055	---M--	200	added ('OK')	image/png	etag:%22efd2e892319aeebf0199531673274f58%22	https://d1kjtx52rxv2sn.cloudfront.net/website/images/about_phantabear/phantabear1.png	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/d1kjtx52rxv2sn.cloudfront.net/website/images/about_phantabear/phantabear1.png	(from https://ezek.io/about)
02:14:19	93581/93581	---M--	200	added ('OK')	image/jpeg	etag:%22d9a8047705ba9eabd9f8d50a9ec24060%22	https://d1kjtx52rxv2sn.cloudfront.net/website/images/about_phantaci/phantaci1.jpeg	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/d1kjtx52rxv2sn.cloudfront.net/website/images/about_phantaci/phantaci1.jpg	(from https://ezek.io/about)
02:14:19	63358/63358	---M--	200	added ('OK')	image/png	etag:%22968b2ed5ee1985e7565590899d48ae69%22	https://d1kjtx52rxv2sn.cloudfront.net/website/images/about_phantabear/phantabear2.png	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/d1kjtx52rxv2sn.cloudfront.net/website/images/about_phantabear/phantabear2.png	(from https://ezek.io/about)
02:14:19	147076/147076	---M--	200	added ('OK')	image/jpeg	etag:%22feb5f64564e552ec4ca0f18cd7d9ca5d%22	https://d1kjtx52rxv2sn.cloudfront.net/website/images/about_phantaci/phantaci2.jpeg	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/d1kjtx52rxv2sn.cloudfront.net/website/images/about_phantaci/phantaci2.jpg	(from https://ezek.io/about)
02:14:20	104462/104462	---M--	200	added ('OK')	image/png	etag:%226632a1cd31ecdfcd77b48f6fa09922ca%22	https://d1kjtx52rxv2sn.cloudfront.net/website/images/about_phantabear/phantabear3.png	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/d1kjtx52rxv2sn.cloudfront.net/website/images/about_phantabear/phantabear3.png	(from https://ezek.io/about)
02:14:20	164916/164916	---M--	200	added ('OK')	image/jpeg	etag:%228d6f21b7b4b418d1f00e906ae667fe66%22	https://d1kjtx52rxv2sn.cloudfront.net/website/images/about_phantaci/phantaci3.jpeg	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/d1kjtx52rxv2sn.cloudfront.net/website/images/about_phantaci/phantaci3.jpg	(from https://ezek.io/about)
02:14:20	105198/105198	---M--	200	added ('OK')	image/png	etag:%224540ac2e3058de959ce05851a4203bfd%22	https://d1kjtx52rxv2sn.cloudfront.net/website/images/about_phantabear/phantabear4.png	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/d1kjtx52rxv2sn.cloudfront.net/website/images/about_phantabear/phantabear4.png	(from https://ezek.io/about)
02:14:20	331162/331162	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jan%202022%2007:13:43%20GMT	https://ezek.io/about/	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/ezek.io/about/index.html	(from https://ezek.io/about)
02:14:21	675858/675858	---M--	200	added ('OK')	image/jpeg	etag:%22026e224d617a8da87706f298adc99b49%22	https://d1kjtx52rxv2sn.cloudfront.net/website/images/about_phantaci/phantaci4.jpeg	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/d1kjtx52rxv2sn.cloudfront.net/website/images/about_phantaci/phantaci4.jpg	(from https://ezek.io/about)
02:14:22	254800/254800	---M--	200	added ('OK')	image/png	etag:%229b1bd2d538531da7b400515c4b61b0b9%22	https://d1kjtx52rxv2sn.cloudfront.net/website/images/about-shadow.png	C:/Users/TungPro/Desktop/copyweb/copyweb7/web7/d1kjtx52rxv2sn.cloudfront.net/website/images/about-shadow.png	(from https://ezek.io/about)
